"population","n","simulated_mean","simulated_sd","theoretical_mean","theoretical_sd","mean_error","sd_ratio","skewness","excess_kurtosis","qq_correlation","qq_rmse","normal_enough","stable_pass"
"Six-Sided Die",500,3.4999068,0.0763003793473454,3.5,0.0763762615825973,-9.31999999997934e-05,0.999006468323015,-0.00602024158256273,0.0411387053168779,0.999898989627431,0.0142125850727558,TRUE,FALSE
"Exponential(rate = 1)",2,0.997601420304108,0.698426862786158,1,0.707106781186547,-0.00239857969589241,0.987724741677877,1.31563303918182,2.4796252629496,0.952222912357393,0.309100461953469,FALSE,FALSE
"Exponential(rate = 1)",5,1.00243355889069,0.444174568146527,1,0.447213595499958,0.00243355889068653,0.993204528252247,0.905784896765838,1.49440187964221,0.978807044903275,0.205866450886649,FALSE,FALSE
"Exponential(rate = 1)",10,0.999971175523711,0.315005717652526,1,0.316227766016838,-2.88244762887135e-05,0.99613554375789,0.670992255072501,0.731577543339178,0.987861522754427,0.155801603707033,FALSE,FALSE
"Exponential(rate = 1)",15,0.999215723585233,0.258482501784919,1,0.258198889747161,-0.00078427641476686,1.00109842469902,0.560077300792488,0.538280290429365,0.991497234563314,0.130397696513302,FALSE,FALSE
"Exponential(rate = 1)",20,0.998599205813854,0.223671329515799,1,0.223606797749979,-0.00140079418614569,1.00028859483016,0.467825122056578,0.291264236672588,0.993832645309195,0.111055298694516,FALSE,FALSE
"Exponential(rate = 1)",30,0.998331525694433,0.182557783968751,1,0.182574185835055,-0.00166847430556705,0.9999101632784,0.398116042366646,0.211309103674505,0.995527177132403,0.0945759414423665,FALSE,FALSE
"Exponential(rate = 1)",40,0.997941291701353,0.157271673702522,1,0.158113883008419,-0.00205870829864729,0.994673400653553,0.345696253519939,0.198398248094067,0.99666200311618,0.0817020190024779,FALSE,FALSE
"Exponential(rate = 1)",50,0.999468489362608,0.14028332163198,1,0.14142135623731,-0.000531510637391763,0.991952880133462,0.293219100592132,0.161797170811286,0.997600984937441,0.0692638002520039,FALSE,FALSE
"Exponential(rate = 1)",75,1.00072628493315,0.116985479920365,1,0.115470053837925,0.000726284933154631,1.01312397484951,0.221053673985502,0.131728761937507,0.998615155351176,0.052624788775089,FALSE,FALSE
"Exponential(rate = 1)",100,1.00070865455243,0.100615019355397,1,0.1,0.000708654552425303,1.00615019355397,0.18926599705712,0.0647568262699689,0.998916126678899,0.0465563694489869,TRUE,TRUE
"Exponential(rate = 1)",150,0.999624554872288,0.0820849124794344,1,0.0816496580927726,-0.000375445127712037,1.00533075577815,0.152745959010171,0.0935134501021624,0.999268307782986,0.0382519934414237,TRUE,TRUE
"Exponential(rate = 1)",200,1.00063751403959,0.0713043449855928,1,0.0707106781186548,0.000637514039589338,1.00839571734755,0.14349411804329,0.104477345973004,0.999363905307169,0.0356656995424361,TRUE,TRUE
"Exponential(rate = 1)",300,0.999946628838932,0.0580547830663726,1,0.0577350269189626,-5.33711610684051e-05,1.00553833893347,0.117066292610489,0.00648284473648664,0.999563820069644,0.0295340305585259,TRUE,FALSE
"Exponential(rate = 1)",500,1.0000817077218,0.0446602899992396,1,0.0447213595499958,8.1707721796942e-05,0.998634443331539,0.0885861160130421,-0.0495793476205906,0.999694937895655,0.0246992655048252,TRUE,FALSE
"Poisson(lambda = 1)",2,0.9957,0.701520294127191,1,0.707106781186547,-0.00429999999999953,0.992099514234637,0.674047171573057,0.383200342246038,0.960108260475774,0.282443318260681,FALSE,FALSE
"Poisson(lambda = 1)",5,0.99828,0.448456411388324,1,0.447213595499958,-0.00171999999999994,1.0027790208099,0.49177137747961,0.283668411317824,0.984295190922423,0.177217313814081,FALSE,FALSE
"Poisson(lambda = 1)",10,0.99851,0.313637715783162,1,0.316227766016838,-0.00148999999999999,0.991809542007331,0.333420002723298,0.115943613414749,0.992490520313686,0.122544759609037,FALSE,FALSE
"Poisson(lambda = 1)",15,0.998686666666667,0.25718130319127,1,0.258198889747161,-0.00131333333333339,0.99605890421571,0.280222882892781,0.10963334316375,0.994898499688491,0.101004048390743,FALSE,FALSE
